1|An Introduction to Interactive Programming in Python|4.9|7-10 hours/week|Rice University|Medium|coursera
2|Modern &amp; Contemporary American Poetry|4.9|5-9 hours/week|University of Pennsylvania|Easy/medium|coursera
3|A Beginner&#39;s Guide to Irrational Behavior|4.9|7-10 hours/week|Duke University|Medium|coursera
4|Design: Creation of Artifacts in Society|4.9|5-10 hours/week|University of Pennsylvania|Medium|coursera
5|Greek and Roman Mythology|4.9|8-10 hours/week|University of Pennsylvania|Medium|coursera
6|CS188.1x Artificial Intelligence|4.9|TBA |UC Berkeley|Medium/hard|edx
7|Machine Learning|4.8|5-7 hours/week|Stanford University|Medium|coursera
8|The Fiction of Relationship|4.8|12-15 hours/week|Brown University|Medium/hard|coursera
9|Calculus: Single Variable|4.8|10-12 hours/week|University of Pennsylvania|Medium/hard|coursera
10|Programming Languages|4.8|8-16 hours/week|University of Washington|Medium/hard|coursera
11|Functional Programming Principles in Scala|4.8|5-7 hours/week|Ecole Polytechnique Federale de Lausanne|Medium/hard|coursera
12|Gamification|4.8|4-8 hours/week|University of Pennsylvania|Easy/medium|coursera
13|Archaeology&#39;s Dirty Little Secrets|4.8|4-6 hours/week|Brown University|Medium|coursera
14|An Introduction to Operations Management|4.8|5-7 hours/week|University of Pennsylvania|Medium|coursera
15|The Modern World: Global History since 1760|4.7|4-6 hours/week|University of Virginia|Medium|coursera
16|Algorithms: Design and Analysis, Part 1|4.7|5-7 hours/week|Stanford University|Medium/hard|coursera
17|Discrete Optimization|4.7|10-20 hours/week|University of Melbourne|Medium/hard|coursera
18|Introduction to Sociology|4.7|5-7 hours/week|Princeton University|Easy/medium|coursera
19|M101P: MongoDB for Developers|4.7|TBA ||Medium|None
20|CS-191x: Quantum Mechanics and Quantum Computation|4.7|About 5-12 hrs/week. (8 weeks)|UC Berkeley|Medium|edx
21|6.002x: Circuits and Electronics|4.7|12 hours/week.|MIT|Medium/hard|edx
22|Introduction to Theoretical Computer Science|4.7|Self-paced ||Medium|udacity
23|The Modern and the Postmodern|4.7|3-5 hours/week|Wesleyan University|Medium|coursera
24|Women and the Civil Rights Movement|4.7|8-10 hours/week|University of Maryland, College Park|Medium|coursera
25|Cardiac Arrest, Hypothermia, and Resuscitation Science|4.7|TBA |University of Pennsylvania|Easy/medium|coursera
26|Cryptography I|4.7|5-7 hours/week|Stanford University|Medium/hard|coursera
27|ER22x: Justice|4.7|TBA |Harvard University|Medium|edx
28|Introduction to Computer Science|4.6|Self-paced ||Easy/medium|udacity
29|Introduction to Databases|4.6|TBA |Stanford University|Medium|None
30|The Language of Hollywood: Storytelling, Sound, and Color|4.6|4-6 hours/week|Wesleyan University|Easy|coursera
31|Learn to Program: Crafting Quality Code|4.6|6-8 hours/week|University of Toronto|Medium|coursera
32|Internet History, Technology, and Security|4.6|3-5 hours/week|University of Michigan|Easy|coursera
33|Web Development|4.6|Self-paced ||Easy/medium|udacity
34|Natural Language Processing|4.5|8-10 hours/week|Stanford University|Medium/hard|coursera
35|Model Thinking|4.5|4-8 hours/week|University of Michigan|Easy/medium|coursera
