id,user,sex,identity,region,focus,fans,article,postall,join,transall,hub_num,hub_influence,iss1,iss2,iss3,iss4,iss5,iss6,con1,con2,con3,con4,con5,con6,man1,man2,man3,image,vedio,tag,link,iden_1,iden_2,iden_3,iden_4,iden_5,iden_6,reg_1,reg_2,reg_3,reg_4,reg_5,reg_6,fans_0,article_0,focus_0,filter_$,influence,number,post_0,join_0,iss1_0,iss2_0,iss3_0,iss4_0,iss5_0,iss6_0,con1_0,con2_0,con3_0,con4_0,con5_0,con6_0,man1_0,man2_0,man3_0,image_0,vedio_0,tag_0,link_0,iss1_ratio,iss2_ratio,iss3_ratio,iss4_ratio,iss5_ratio,iss6_ratio,con1_ratio,con2_ratio,con3_ratio,con4_ratio,con5_ratio,con6_ratio,man1_ratio,man2_ratio,man3_ratio,image_ratio,vedio_ratio,tag_ratio,link_ratio
1,angelababy,1,1,4,678,8000,2468,10,6,78491,.00215523699973852,.00685715847292426,1,0,1,0,8,0,2,1,1,5,1,0,0,9,1,8,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,3.90308998699194,3.3923451553612,2.83122969386706,1,-2.16385581362034,-2.66650496586555,1,.778151250383644,0, ,0, ,.903089986991944, ,.301029995663981,0,0,.698970004336019,0, , ,.954242509439325,0,.903089986991944, ,.477121254719662,0,.1,0,.1,0,.8,0,.2,.1,.1,.5,.1,0,0,.9,.1,.8,0,.3,.1
2,gogoboi,0,6,1,524,707,7641,5,4,14545,.000833005761470215,.000565816594698018,0,0,1,0,3,1,2,0,0,1,1,1,1,0,4,4,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,2.8494194137969,3.88315019968328,2.71933128698373,0,-3.24732431937445,-3.07935199479241,.698970004336019,.602059991327962, , ,0, ,.477121254719662,0,.301029995663981, , ,0,0,0,0, ,.602059991327962,.602059991327962, ,.301029995663981,0,0,0,.2,0,.6,.2,.4,0,0,.2,.2,.2,.2,0,.8,.8,0,.4,.2
3,Happy张江,1,6,1,2279,889,37905,18,4,32520,.00141904240196115,.000498841789570122,7,1,0,0,0,10,1,0,0,8,0,9,11,6,1,10,10,18,1,0,0,0,0,0,1,1,0,0,0,0,0,2.94890176097021,4.5786965009756,3.35774432518038,0,-3.3020371714335,-2.84800462733138,1.25527250510331,.602059991327962,.845098040014257,0, , , ,1,0, , ,.903089986991944, ,.954242509439325,1.04139268515823,.778151250383644,0,1,1,1.25527250510331,0,.388888888888889,.0555555555555556,0,0,0,.555555555555556,.0555555555555556,0,0,.444444444444444,0,.5,.611111111111111,.333333333333333,.0555555555555556,.555555555555556,.555555555555556,1,.0555555555555556
4,爱国者冯军,0,4,1,1454,541,9681,15,6,169,.000948236234911925,1.60754745127774E-006,10,0,0,4,0,1,2,4,2,7,0,0,12,3,0,5,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,2.73319726510657,3.98592022012357,3.16256440652302,0,-5.79383619879321,-3.02308345302294,1.17609125905568,.778151250383644,1, , ,.602059991327962, ,0,.301029995663981,.602059991327962,.301029995663981,.845098040014257, , ,1.07918124604762,.477121254719662, ,.698970004336019, ,.477121254719662,.477121254719662,.666666666666667,0,0,.266666666666667,0,.0666666666666667,.133333333333333,.266666666666667,.133333333333333,.466666666666667,0,0,.8,.2,0,.333333333333333,0,.2,.2
5,鞍钢郭明义,0,5,3,2965,2112,16050,110,22,11275,.015736670898871,.00322158167284814,16,9,1,2,76,6,62,3,2,35,8,0,35,12,63,99,3,43,13,0,0,0,0,1,0,0,0,1,0,0,0,3.32469391386177,4.20547503674089,3.47202469770028,0,-2.49193085403744,-1.80308713748967,2.04139268515822,1.34242268082221,1.20411998265592,.954242509439325,0,.301029995663981,1.88081359228079,.778151250383644,1.79239168949825,.477121254719662,.301029995663981,1.54406804435028,.903089986991944, ,1.54406804435028,1.07918124604762,1.79934054945358,1.99563519459755,.477121254719662,1.63346845557959,1.11394335230684,.145454545454545,.0818181818181818,.00909090909090909,.0181818181818182,.690909090909091,.0545454545454545,.563636363636364,.0272727272727273,.0181818181818182,.318181818181818,.0727272727272727,0,.318181818181818,.109090909090909,.572727272727273,.9,.0272727272727273,.390909090909091,.118181818181818
6,八卦_我实在是太CJ了,0,6,1,630,975,10764,15,4,80758,.000964692488092722,.00580264339044361,8,0,0,0,0,7,1,0,2,6,0,6,3,12,0,10,4,2,1,0,0,0,0,0,1,1,0,0,0,0,0,2.98900461569854,4.03197368909172,2.79934054945358,0,-2.2363741187895,-3.01561110324476,1.17609125905568,.602059991327962,.903089986991944, , , , ,.845098040014257,0, ,.301029995663981,.778151250383644, ,.778151250383644,.477121254719662,1.07918124604762, ,1,.602059991327962,.301029995663981,0,.533333333333333,0,0,0,0,.466666666666667,.0666666666666667,0,.133333333333333,.4,0,.4,.2,.8,0,.666666666666667,.266666666666667,.133333333333333,.0666666666666667
7,巴曙松,0,3,1,2038,941,32509,12,4,2366,.000897689197421574,6.90011192110707E-005,8,0,0,0,0,4,4,0,1,5,0,2,6,4,2,3,1,0,5,0,0,1,0,0,0,1,0,0,0,0,0,2.97358962342726,4.51200361049393,3.30920417967041,0,-4.16114386486782,-3.04687400098168,1.07918124604762,.602059991327962,.903089986991944, , , , ,.602059991327962,.602059991327962, ,0,.698970004336019, ,.301029995663981,.778151250383644,.602059991327962,.301029995663981,.477121254719662,0, ,.698970004336019,.666666666666667,0,0,0,0,.333333333333333,.333333333333333,0,.0833333333333333,.416666666666667,0,.166666666666667,.5,.333333333333333,.166666666666667,.25,.0833333333333333,0,.416666666666667
8,北京王惠,1,5,1,286,550,4500,23,14,868,.00293080095929044,8.83480016053539E-005,5,1,0,2,14,1,4,1,2,9,7,0,15,8,0,10,0,22,0,0,0,0,0,1,0,1,0,0,0,0,0,2.74036268949424,3.65321251377534,2.45636603312904,0,-4.05380326960468,-2.5330136749826,1.36172783601759,1.14612803567824,.698970004336019,0, ,.301029995663981,1.14612803567824,0,.602059991327962,0,.301029995663981,.954242509439325,.845098040014257, ,1.17609125905568,.903089986991944, ,1, ,1.34242268082221, ,.217391304347826,.0434782608695652,0,.0869565217391304,.608695652173913,.0434782608695652,.173913043478261,.0434782608695652,.0869565217391304,.391304347826087,.304347826086957,0,.652173913043478,.347826086956522,0,.434782608695652,0,.956521739130435,0
9,蔡康永,0,1,4,1917,3438,993,1,1,9543,.000148923112479672,.000406681590244415,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.53630587235103,2.99694924849538,3.28262211287806,1,-3.39074548689275,-3.82703789564314,0,0, , , , ,0, , , , ,0, , , ,0, ,0, , , ,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
10,蔡文胜,0,4,2,348,479,6097,20,12,6739,.00520387249526876,.000434996923304974,0,2,2,2,12,2,12,0,2,6,0,0,1,6,13,13,2,5,9,0,0,0,1,0,0,0,1,0,0,0,0,2.68033551341456,3.78511619502192,2.54157924394658,0,-3.36151381476122,-2.28367335301737,1.30102999566398,1.07918124604762, ,.301029995663981,.301029995663981,.301029995663981,1.07918124604762,.301029995663981,1.07918124604762, ,.301029995663981,.778151250383644, , ,0,.778151250383644,1.11394335230684,1.11394335230684,.301029995663981,.698970004336019,.954242509439325,0,.1,.1,.1,.6,.1,.6,0,.1,.3,0,0,.05,.3,.65,.65,.1,.25,.45
