id	starname	议题	发文数	总评论数	总转发数	总点赞数
1	周国平	国家议程	0	0	0	0
1	周国平	公权政策	0	0	0	0
1	周国平	法律案例	1	270	526	248
1	周国平	社会矛盾	0	0	0	0
1	周国平	灾难救助	0	0	0	0
1	周国平	涉外涉军	0	0	0	0
2	章诒和	国家议程	10	826	2800	1893
2	章诒和	公权政策	5	442	1508	551
2	章诒和	法律案例	7	554	1992	1701
2	章诒和	社会矛盾	5	618	2366	752
2	章诒和	灾难救助	8	739	4024	1169
2	章诒和	涉外涉军	4	623	3245	647
3	张颐武	国家议程	0	0	0	0
3	张颐武	公权政策	0	0	0	0
3	张颐武	法律案例	0	0	0	0
3	张颐武	社会矛盾	3	28	50	40
3	张颐武	灾难救助	0	0	0	0
3	张颐武	涉外涉军	11	181	1131	607
4	张怡筠	国家议程	4	86	416	829
4	张怡筠	公权政策	0	0	0	0
4	张怡筠	法律案例	0	0	0	0
4	张怡筠	社会矛盾	3	3204	4600	76295
4	张怡筠	灾难救助	0	0	0	0
4	张怡筠	涉外涉军	1	861	1545	5000
5	张鸣	国家议程	3	971	987	846
5	张鸣	公权政策	7	1346	2674	1564
5	张鸣	法律案例	5	1937	4934	6808
5	张鸣	社会矛盾	6	1603	3634	3804
5	张鸣	灾难救助	10	2699	5279	8580
5	张鸣	涉外涉军	2	745	493	1621
6	展江	国家议程	1	8	39	46
6	展江	公权政策	2	8	33	25
6	展江	法律案例	4	228	1730	290
6	展江	社会矛盾	2	20	188	36
6	展江	灾难救助	9	261	959	384
6	展江	涉外涉军	1	3	9	8
7	袁腾飞	国家议程	0	0	0	0
7	袁腾飞	公权政策	0	0	0	0
7	袁腾飞	法律案例	2	561	1199	2022
7	袁腾飞	社会矛盾	2	385	135	1228
7	袁腾飞	灾难救助	0	0	0	0
7	袁腾飞	涉外涉军	0	0	0	0
8	喻国明	国家议程	0	0	0	0
8	喻国明	公权政策	4	130	467	126
8	喻国明	法律案例	8	510	1594	926
8	喻国明	社会矛盾	0	0	0	0
8	喻国明	灾难救助	8	576	1978	811
8	喻国明	涉外涉军	2	75	96	68
9	于建嵘	国家议程	2	179	450	179
9	于建嵘	公权政策	2	489	2544	561
9	于建嵘	法律案例	1	147	465	153
9	于建嵘	社会矛盾	0	0	0	0
9	于建嵘	灾难救助	0	0	0	0
9	于建嵘	涉外涉军	0	0	0	0
10	于丹	国家议程	5	8	598	2781
10	于丹	公权政策	0	0	0	0
10	于丹	法律案例	1	3	49	364
10	于丹	社会矛盾	0	0	0	0
10	于丹	灾难救助	0	0	0	0
10	于丹	涉外涉军	0	0	0	0
11	易中天	国家议程	0	0	0	0
11	易中天	公权政策	0	0	0	0
11	易中天	法律案例	0	0	0	0
11	易中天	社会矛盾	0	0	0	0
11	易中天	灾难救助	0	0	0	0
11	易中天	涉外涉军	2	1238	1609	3596
12	亦舒	国家议程	0	0	0	0
12	亦舒	公权政策	0	0	0	0
12	亦舒	法律案例	0	0	0	0
12	亦舒	社会矛盾	0	0	0	0
12	亦舒	灾难救助	1	40	126	172
12	亦舒	涉外涉军	0	0	0	0
13	叶匡政	国家议程	2	70	430	48
13	叶匡政	公权政策	7	162	744	44
13	叶匡政	法律案例	10	266	6386	114
13	叶匡政	社会矛盾	4	187	1009	63
13	叶匡政	灾难救助	12	379	2692	130
13	叶匡政	涉外涉军	1	13	167	9
14	许小年	国家议程	0	0	0	0
14	许小年	公权政策	0	0	0	0
14	许小年	法律案例	0	0	0	0
14	许小年	社会矛盾	0	0	0	0
14	许小年	灾难救助	1	133	935	27
14	许小年	涉外涉军	0	0	0	0
15	徐昕	国家议程	5	564	4678	790
15	徐昕	公权政策	13	13922	73685	6656
15	徐昕	法律案例	15	12284	102115	7109
15	徐昕	社会矛盾	6	1662	4776	1010
15	徐昕	灾难救助	8	1931	8458	1635
15	徐昕	涉外涉军	0	0	0	0
16	熊培云	国家议程	0	0	0	0
16	熊培云	公权政策	0	0	0	0
16	熊培云	法律案例	2	154	413	189
16	熊培云	社会矛盾	1	159	445	490
16	熊培云	灾难救助	0	0	0	0
16	熊培云	涉外涉军	1	20	41	70
17	王小山	国家议程	0	0	0	0
17	王小山	公权政策	0	0	0	0
17	王小山	法律案例	1	25	63	44
17	王小山	社会矛盾	0	0	0	0
17	王小山	灾难救助	2	31	42	36
17	王小山	涉外涉军	24	1754	2780	1135
18	土家野夫	国家议程	0	0	0	0
18	土家野夫	公权政策	6	226	901	153
18	土家野夫	法律案例	15	740	5030	1071
18	土家野夫	社会矛盾	3	164	689	406
18	土家野夫	灾难救助	1	116	277	4
18	土家野夫	涉外涉军	1	63	368	15
19	苏芩	国家议程	4	2280	22446	13511
19	苏芩	公权政策	1	243	2559	281
19	苏芩	法律案例	1	675	1280	303
19	苏芩	社会矛盾	0	0	0	0
19	苏芩	灾难救助	6	1560	11532	4845
19	苏芩	涉外涉军	1	374	1745	4956
20	宋鸿兵	国家议程	15	2053	3599	3623
20	宋鸿兵	公权政策	5	466	725	456
20	宋鸿兵	法律案例	1	37	463	57
20	宋鸿兵	社会矛盾	10	492	720	732
20	宋鸿兵	灾难救助	74	5953	18772	7619
20	宋鸿兵	涉外涉军	22	1947	3755	3555
21	司马南	国家议程	4	189	284	269
21	司马南	公权政策	0	0	0	0
21	司马南	法律案例	17	2568	5122	4479
21	司马南	社会矛盾	5	432	407	370
21	司马南	灾难救助	0	0	0	0
21	司马南	涉外涉军	9	623	870	678
22	石康	国家议程	0	0	0	0
22	石康	公权政策	0	0	0	0
22	石康	法律案例	0	0	0	0
22	石康	社会矛盾	0	0	0	0
22	石康	灾难救助	0	0	0	0
22	石康	涉外涉军	1	77	88	99
23	十年砍柴	国家议程	18	835	1807	1087
23	十年砍柴	公权政策	23	901	3085	499
23	十年砍柴	法律案例	20	1644	4883	638
23	十年砍柴	社会矛盾	30	1760	6633	1351
23	十年砍柴	灾难救助	48	1687	5221	1627
23	十年砍柴	涉外涉军	5	231	395	180
24	沈宏非	国家议程	4	78	414	127
24	沈宏非	公权政策	0	0	0	0
24	沈宏非	法律案例	1	63	92	16
24	沈宏非	社会矛盾	0	0	0	0
24	沈宏非	灾难救助	1	5	77	1
24	沈宏非	涉外涉军	0	0	0	0
25	沈浩波	国家议程	0	0	0	0
25	沈浩波	公权政策	1	27	101	9
25	沈浩波	法律案例	3	27	90	9
25	沈浩波	社会矛盾	1	19	53	8
25	沈浩波	灾难救助	2	14	131	23
25	沈浩波	涉外涉军	0	0	0	0
26	钱钢	国家议程	0	0	0	0
26	钱钢	公权政策	0	0	0	0
26	钱钢	法律案例	2	79	346	36
26	钱钢	社会矛盾	1	30	102	115
26	钱钢	灾难救助	1	669	3954	4266
26	钱钢	涉外涉军	0	0	0	0
27	麦家	国家议程	0	0	0	0
27	麦家	公权政策	0	0	0	0
27	麦家	法律案例	0	0	0	0
27	麦家	社会矛盾	2	154	321	646
27	麦家	灾难救助	1	34	57	73
27	麦家	涉外涉军	0	0	0	0
28	马伯庸	国家议程	0	0	0	0
28	马伯庸	公权政策	0	0	0	0
28	马伯庸	法律案例	0	0	0	0
28	马伯庸	社会矛盾	0	0	0	0
28	马伯庸	灾难救助	0	0	0	0
28	马伯庸	涉外涉军	1	67	603	611
29	李银河	国家议程	0	0	0	0
29	李银河	公权政策	3	557	714	57
29	李银河	法律案例	2	769	515	1444
29	李银河	社会矛盾	2	618	461	294
29	李银河	灾难救助	2	87	97	42
29	李银河	涉外涉军	2	508	233	439
30	李铁根	国家议程	5	4090	22739	6116
30	李铁根	公权政策	2	890	2174	563
30	李铁根	法律案例	0	0	0	0
30	李铁根	社会矛盾	0	0	0	0
30	李铁根	灾难救助	0	0	0	0
30	李铁根	涉外涉军	1	113	1134	317
31	李稻葵	国家议程	0	0	0	0
31	李稻葵	公权政策	2	368	701	207
31	李稻葵	法律案例	0	0	0	0
31	李稻葵	社会矛盾	0	0	0	0
31	李稻葵	灾难救助	0	0	0	0
31	李稻葵	涉外涉军	0	0	0	0
32	雷颐	国家议程	7	274	836	681
32	雷颐	公权政策	7	454	858	203
32	雷颐	法律案例	45	1239	6175	1950
32	雷颐	社会矛盾	1	48	353	22
32	雷颐	灾难救助	0	0	0	0
32	雷颐	涉外涉军	31	837	2839	1047
33	郎咸平	国家议程	4	2563	2172	22512
